"X","tweet_text","tweet_sentiment"
217,"@JimCramer Says 'Machines' Caused @Apple's Big Drop $AAPL  http://t.co/pfzq1N52hH","negative"
218,"@maxscottslade @Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out","negative"
221,"@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing... http://t.co/AjdDTF19Nn","negative"
226,"my alarm was set the ringer was on and it just refused to work fuck u @apple","negative"
228,"I'm lost because it's deer season, but there is no deer emoji. Come on @Apple, how am I suppose to show the love to all my huntin' friendz?","negative"
231,"@Apple I figured out #memory issue on my #ipad. It wasnt a #bug but a new hidden folder that stores our  images... http://t.co/vEKIE3qlDp","negative"
235,"#AppleLawSuit Depends on exactly what @Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1s
YK","negative"
239,"IPhone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free.","negative"
241,"@mcmillanstu @D1PZ... But trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks @apple!
#EcomChat","negative"
243,"Dear @apple replace my phone my battery sucks","negative"
251,"RT @laurrynk: Dear @apple replace my phone my battery sucks","negative"
252,"@ThisDueeMarco @Apple thats annoying, they never get stuff right the first time.","negative"
256,"RT @laurrynk: Dear @apple replace my phone my battery sucks","negative"
262,"I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored","negative"
263,"I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored","negative"
278,"Here's Why #Apple Won't Be A Trillion Dollar Company According To Billionaire VC Jim Breyer #aapl http://t.co/2TQVM5v4yB","negative"
279,"Chromebooks Overtake Apple's iPads in U.S. Education Market http://t.co/iR8WRGXO2x @apple @googlechrome #chromebooks #ipad","negative"
280,"Apple Inc. is doomed. $AAPL dropped by 1.54%! Currently priced at 113.3. http://t.co/K6PKMj3Sbf #AAPL","negative"
284,".@Apple wants you to stop taking vertical photos: http://t.co/Aw5nUQmzZk via @OutsideMagazine","negative"
290,"@apple yall some hoes","negative"
298,"Did you notice that @Apple apps now say 'Get' instead of 'Free'? This change was due to alleged misleading labeling. http://t.co/In8SIkR1Qp","negative"
302,"@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if it's free","negative"
307,"Apple  Loses Ground to Google  In Education Tablet Sales $AAPL #aapl
http://t.co/Ap0c3ehZLe","negative"
309,"@apple What do I need to do if my mac has been really slow lately ?","negative"
317,"Your stupid as shit upgrade has ruined the god damned IDE @apple","negative"
318,"You pieces of shit @apple! 
God damnit man!","negative"
319,"Hey @apple, how come I can't make Genius Bar appointments online anymore?","negative"
321,"What happened? RT @Khaleel You pieces of shit @apple! 
God damnit man!","negative"
328,"Lol fuck you. I'm still not buying a new one. @Apple http://t.co/XHqOVbNfZK","negative"
332,"@apple has caused me so much pain today","negative"
333,"#As @Apple [#Apple] still struggles to #meet #iPhone6 demand, #Canaccord raises price .... (#Tuesday, 2 #December) http://t.co/orhJ2UnkM4","negative"
334,"Not cool @Apple ... not cool. You just bait-and-switched me into paying for an upgrade to server after a 'free' upgd. to 10.10.1?","negative"
336,"iPhone Shortages Not Helping RadioShack as Consumer Sales Plummet http://t.co/UVre2GM1oh #AAPL","negative"
344,"@APPLE CAN YALL PLEASE SEND ME MY FUCKIN PHONE","negative"
345,"Anyone know how to fix this? #xcode @apple no simulators... tried complete reinstall #ios http://t.co/Nu9YyqioHU","negative"
348,"CNBCTV:  #Apple fighting monopoly allegations #aapl http://t.co/mPsHU4yKTB","negative"
352,"CNBCTV:  #Cramer: Trading #Apple suckers game #aapl http://t.co/cPmnQXDwit","negative"
358,"@apple make SD cards so we can add memory to our iPhone because we all know you won't allow SD cards until you profit from it","negative"
364,"Google Chromecast Leapfrogs Apple TV as the Aging Media Player Loses Ground to Rivals http://t.co/14UHvYCP6B #AAPL","negative"
366,"my phone keeps fucking freezing @apple","negative"
370,"When you can't hear people through your headphones thank you @Apple for the headphones and @god","negative"
372,"I've been considering suing @apple for putting that shitty U2 album on my phone","negative"
374,"@MacRumors @kellyhodgkins I believe it I bought an @amazon Fire TV for $69 @Apple You've lost another customer","negative"
375,"Apple goes to trial over $1 billion digital music lawsuit in California $AAPL #aapl
http://t.co/jAxLSipoQF","negative"
376,"RT @unstanningzarry: my phone keeps fucking freezing @apple","negative"
382,"RT @SparkingAri: @ohiloveariana damn I wish I could get u an iPhone so we could imessage but I don't have enough money dAMN DAMM DAMN @apple","negative"
383,"#AAPL:Android Phones to Dominate Through 2018, While iOS Phone Revenue Will ...http://t.co/b9VdeyRXTc","negative"
385,"@apple need to sort this b*llshit out with safari in Yosemite! 'Safari can not find server' #apple #macbook #YosemiteProblems #Yosemite","negative"
388,".@Apple faces $1B lawsuit over iPod allegations: http://t.co/UAVE47ez8w #legal #tech #lawsuit","negative"
391,"@tim_cook Not happy with @Apple @AppStore Backwards compatibility should be a given.  It is for my other apps why not Aperture?? Money Grab?","negative"
395,"Hey @apple: Love ya but #AppleCare low-fi hold music is awful. Would prefer to hear tips on using apple gear.  Better use of my hold time.","negative"
400,"Apple's iPhone 6 may face patent dispute from Chinese vendor with look-alike device $AAPL #aapl
http://t.co/djF7KJjtPG","negative"
403,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given yesterday. #badservice #Apple","negative"
420,"@apple plz kill Verizon soooo I don't have weird apps and passcodes and synchronized locations on everything","negative"
421,"RT @Elmetifi: #AAPL I think it will be valued at 140-145s at next year.Death of Steve Jobs damaged #Samsung more than Apple +","negative"
422,"Strikes me as somewhat stupid that @Apple have sent me a brand new iPhone without the latest software on. So I can't restore my old stuff.","negative"
423,"@apple really needs to do something about these bullshit cords","negative"
429,"@Apple ??? My iPhone 3 which has been sitting quietly for a year in a protective case just split open at the back http://t.co/PyoHjiuG03","negative"
431,"Yes @apple, now is a perfect time to lock my screen and install a software update without asking. #not","negative"
432,"Me too. MT @MsNarcissistic As a die hard @Apple customer, I am truly displeased with the customer service I was given yesterday. #badservice","negative"
438,"@apple I hate the microphone shit on the imessage please take it the fuck off","negative"
442,"#Apple in the Dock: $1 Billion Antitrust Claim Casts #SteveJobs as Conspirator #aapl http://t.co/qZaTiTlR26","negative"
445,"Dear @Apple, I've been an Apple user for over 20 years and can't remember a bug like this current Safari on. #fixit! http://t.co/6AlSsd6igw","negative"
446,"Dear @Apple.

Kindly fuck off with your .m4a format.

Regards,
Music Listeners Everywhere.","negative"
454,"@UberFacts i can think of 100 reasons not to if your on a 4s. Fuck @apple","negative"
459,"@sometimesboring also wtf @apple i dont even live in kirkby","negative"
462,"There's a movie in my iTunes Match / iCloud that I can't remove. Actually it's a trailer. Very annoying @Apple.","negative"
464,"Siri be on that bull shit telling me it's not gonna rain and shit da fuck I pay for her for @apple","negative"
467,".@Google Unseats @Apple In U.S. Classrooms As #Chromebooks Beat #iPads","negative"
470,"Changing words that aren't even misspelled like where do they REALLY do that at???? I would really like to know. @apple","negative"
471,"Russia Could Ban #Apple Inc. iPhone For Lawmakers [REPORT] http://t.co/WrAI7vkuz2 #aapl","negative"
475,".@apple MacMail on OS X #Yosemite is really giving me a hard time. Is there an alternative email program out there? #YosemiteProblems","negative"
476,"Russian lawmaker thinks the iPhone is stealing state secrets $AAPL #aapl
http://t.co/ixxTdEtliT","negative"
479,"Autocorrect changes actual words to other words but when I spell an actual word wrong it doesn't correct it? Fuck yall niggas @apple","negative"
485,"what the hell is this 5gbs of 'other' data on my phone @Apple?????????","negative"
493,"#AAPL:Steve Jobs emails featured in Apple iPod U.S. antitrust trial...http://t.co/KUKwAblVTp","negative"
495,".@Sony named 'most-desired brand' during #BlackFriday &amp; #CyberMonday, beating #tech rival @Apple: http://t.co/4YN6pUtLKK via @TheDrum","negative"
500,"@Google Beating @Apple in U.S. Education Market Amid iPad Slowdown http://t.co/KTsLbYeNTa #neo","negative"
502,"@TIME: Steve Jobs to testify in @Apple trial from beyond the grave http://t.co/pPab0v8hUn","negative"
508,"2/ At its announcement @samsung supporters criticized #AAPL for 'following' Samsung into the large screen game.","negative"
512,"Where da fuck is this middle finger emoji @apple so I can ignore my Niggaz shit talk wit a single sign","negative"
514,"Sign of utterly broken wifi driver: my @apple Air sitting on my lap I'm desperate enough to read my email on my Android phone","negative"
525,"Chinese smartphone maker claims #Apple copied iPhone 6 design - http://t.co/iUzewX1JuE #AAPL #Android","negative"
529,"RT @Laura_Kate8: WHY DO I HAVE 5 GROUP MESSAGES WITH THE SAME PEOPLE. @apple","negative"
530,"RT @Laura_Kate8: WHY DO I HAVE 5 GROUP MESSAGES WITH THE SAME PEOPLE. @apple","negative"
531,"RT @Laura_Kate8: WHY DO I HAVE 5 GROUP MESSAGES WITH THE SAME PEOPLE. @apple","negative"
538,"#Apple Inc. #AAPL News Analysis: Did Apple Inc (AAPL) CEO Steve Jobs Consider Himself Above The Law? http://t.co/ZF0v7k2N7H","negative"
541,"RT @Laura_Kate8: WHY DO I HAVE 5 GROUP MESSAGES WITH THE SAME PEOPLE. @apple","negative"
543,"@Apple if I dismiss a call when it comes in, I did not 'miss' that call. Can't the notification accurately reflect my action?","negative"
545,"IM SICK OF YOUR FUCKING SHIT @apple","negative"
555,"I had the Facebook app but my dumbass deleted it and now I can't redownload cause it says I need iOS7 suck my fucking ass @apple","negative"
563,"@apple get cha shit together and fix my phone !!!","negative"
570,"@iirwanks ICK YO @apple Autocorrect RUSE","negative"
571,"Ok I muted the groupchat but I still get notifications uhm @apple what the hell","negative"
572,"@iambrozie @Apple Will it give me Edward Scissorhands length fingers? Because then I might be able to use this!","negative"
573,"Sitting here waiting for more than half hour for my 'appt' @Apple , watching 'geniuses' talk crap about their customers in the open, nice...","negative"
576,"It would be nice if I could type more than one sentence without my computer freezing up @Apple @Microsoft @Word @Internet @Everyone","negative"
579,"Yo @Apple wtf is wrong with you people? Make it easier to delete contacts already, gosh damn it!!!","negative"
580,"@Apple why does the clock disappear in Siri? It's super annoying when you want to set an alarm and suddenly you can't see the time.","negative"
582,"my dad called now my musics arent playing jesus christ @apple problematic","negative"
583,"fuck you fuck you so much i hate you @apple","negative"
585,"L.A. School District Officially Ends $1.3 Billion iPad Initiative in the Midst of an FBI Investigation http://t.co/ny9oaj6gXr #AAPL","negative"
587,"well imessage doesn't work thanks @apple","negative"
588,"Next year my goal is to be #Apple free. Tired of their BS. @Apple @iTunesSupport","negative"
590,"@anneohirsch @Apple My 5S was great - just had a cracked screen &amp; a dying battery. I'm thinking about trading the 6 in for a new 5S :(","negative"
593,"Also I've had my iPhone 6 for two days and it's already broken shout out to @apple","negative"
594,"Uh, is @Apple making fun of French people (and being rude) in their new iPhone 6 'call from anywhere' ad?! That's how it seemed to me.","negative"
597,"I am feeling creatively stifled by the current emoji selection @apple","negative"
598,"@apple fuck you bitches my phones abrick and stuck on the apple logo","negative"
601,"Forget #Apple, Here Are Better #Tech Stocks to Buy | The Motley Fool #aapl http://t.co/drJdIvOtxu","negative"
604,"One good thing about waiting in the @Apple Store for my 'appointment' is that I cleared up the backlog of emails from my inbox","negative"
607,"iMessage isn't working thanks @apple","negative"
610,"No at typo changing my words. Get it together @apple","negative"
612,"Hey @apple could you make an iPhone charger that lasts more than a month? Sincerely, a broke high school student who wants her phone charged","negative"
613,"fuck apple for allowing ppl to access the camera when the phone is locked fuck you fuck you @apple","negative"
615,"why don't we have an ape emoji on iphones? or a middle finger? it's almost 2015, step it up @apple.","negative"
616,"@apple I am beginning to think your products are crap","negative"
617,"my iphone 6 FINALLY came after almost 3 weeks don't think I'll forget this @apple","negative"
619,"You need to send me my IPhone before I cancel @tmobile @apple","negative"
620,"This is the 6th charger I've had to buy for my mac and they gave me the wrong one @apple #applesuport Fix this wrongdoing give me a free one","negative"
621,"FUCK @apple","negative"
622,"Liberals should protest corporate greed and throw away all their nifty @apple products. #ShutItDown #DCFerguson","negative"
624,"DEAR APPLE THIS IS THE WORSE SERVICE EVER @apple http://t.co/JHPs71DF0W","negative"
626,"Since all the software updates, my iPhone, iPad and iPod touch will not charge and are royally fucked up @Apple","negative"
627,"s/o @apple for this really great charger that works so well! #not","negative"
628,"Cheeky @apple...  Very cheeky.... No dice though... You can't own 'App Store' it's a description not a product - http://t.co/8L7VeRuzfs","negative"
632,"@apple get your shit together with group chats on ios8","negative"
633,"@dangainor @Apple But then how could they post to Twitter (NASDAQ: TWTR), Instagram (NASDAQ: FB) or Shutterfly (NASDAQ: SFLY)? #ShutItDown","negative"
635,"FUCK MY FUCKING PHONE ITS FUCKING TRIPPING IM FUCKING TIRED OF THIS FUCKING BULLSHIT 

IM HOLDING YOU RESPONSIBLE @apple","negative"
636,". @apple why is my computer so slow","negative"
637,"RT @mkschuster: . @apple why is my computer so slow","negative"
638,"Really need tap-to-tweet back, @apple","negative"
639,"#PeterHewer @Apple iPhone 6 claimed to copy a Chinese smartphone design. Ouch

http://t.co/G8IgaodgPN","negative"
642,"@Landonboyd93 @mochasucks @renoxalex @Apple what about a penis emoji? I'm sick of implying that my dick looks like an eggplant.","negative"
644,"@Apple there isn't a puke emoji I'm pissed fix it fat","negative"
646,"I have 170 pictures and my storage is full @apple get it together","negative"
647,"RT @Breyythatsmee: I have 170 pictures and my storage is full @apple get it together","negative"
648,"Why #AAPL Stock Had a Mini-Flash Crash: Money Morning: Nothing the analysts suggested would make a widely held... http://t.co/IhMonRcEKX","negative"
650,"That would be brilliant! It's sad @Apple doesn't allow Mozilla's better engine @OpenSourceAgent #opensource","negative"
651,"APPLES EARBUDS ARE SO FUCKING WEAK THEY LITERALLY CANNOT WITHSTAND ANY GOD DAMN DAMAGE I HAVE WASTED SO MUCH MONEY FUCK @Apple","negative"
652,"Why is Tom automatically capitalized and tommy isn't?? @apple you need to fix this. #autocorrectprobs","negative"
655,"why is it so difficult to qualify for a #geniusbar appointment at @Apple these days? #unneccessary","negative"
660,"god dammit fuck you @apple","negative"
661,"RT @yungbaaz: god dammit fuck you @apple","negative"
662,"@Apple do something you cunt @BarackObama","negative"
663,"fuck you @apple @iphone","negative"
667,"I could punch whoever came up with the new @apple commercials. #makeitstop #ahhhhhhh","negative"
668,"@apple fuck you","negative"
670,"hey @apple can I catch a fucking maverick of a wave on an iPhone?
didn't think so. #SurfsUpSamsung","negative"
673,"Dear @Apple, please fix your AWDL issues.. https://t.co/rAy5olfZyt","negative"
676,"@Apple What english is this? What do you mean? http://t.co/pZB18o3kVJ","negative"
679,"Can #iPad conquer the enterprise? Only if @Apple has the guts to license #iOS: http://t.co/0mWOJkycsc","negative"
680,"@apple really need to up their battery game. Because ain't no one got time to charge their phones #furstrated #annoyed #charging","negative"
681,"yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple","negative"
682,"@FaZeNikan @Apple Wrong @ Homie","negative"
683,"@FaZeNikan @Apple haha switch to @Android","negative"
686,"RT @FaZeNikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple","negative"
687,"@FaZeNikan @Apple I had the same thing. Bought an iPhone 5 when it came out and had to replace the battery after a month or two.","negative"
689,"@FaZeNikan @Apple lol iPhone,weak. Get on that Lumia level bruh","negative"
691,"RT @FaZeNikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple","negative"
693,"still can't merge multiple apple-id's @apple #fail http://t.co/5BNAihk58p","negative"
695,"@FaZeNikan @Apple @applenws @AppStore i know my iphone  dies at like 20%","negative"
696,"Realised the reason @apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar","negative"
697,"still can't merge multiple apple-id's @apple #fail http://t.co/CDvtUjnqgu","negative"
699,"why is there no black heart emoji @apple","negative"
712,". @apple diag and support suck a lot! It says 'cannot connect server, try again', then 'ticket not found' #disgusting http://t.co/ARyYbxOdox","negative"
718,"I've sent my computer out to @apple twice for repairs in the last month and each time it comes back with a new problem Something isn't right","negative"
719,"WHY? WHY HAVE YOU PUT GAY STUFF IN MY FUCKING IPHONE @apple http://t.co/r7BrJShrXK","negative"
721,".@apple why do your computers like to crash on dead week before finals?","negative"
722,"@sashametro Its the iupdate process that is so incensing. what rubbish. Hopefully @apple will be irrelevant again soon.","negative"
723,"@Apple fix your apps.... If I click play it ain't playin'..... So it ain't really a play button is it?","negative"
724,"I'm going to press the play button!! Wait no I'm not :( @apple fix your apps http://t.co/eteewIIjrO","negative"
725,"It's just dawned on me that I've probably spent more on replacing frayed / non functioning Iphone cables than I've spent on iPhones @apple","negative"
726,"@mayhembcn iUpdate is new since I needed a DUNS two years ago (web form + phone call) - ironic for an @apple req that it only supports IE8+","negative"
729,"'@GMONEYizME: I've probably spent more on replacing non functioning Iphone cables than I've spent on iPhones @apple' - #SwitchToLumia","negative"
730,"L.A. school district halts iPad contract as FBI seizes documents $AAPL #aapl
http://t.co/BTJokQnriy","negative"
732,"@Siri @Apple @SteveJobs @alarmthatdidntgooff this is disrespectful","negative"
736,"How is 'never' interpreted as 'ask me again annoyingly soon' when iOS apps ask to be rated?  @apple tell your devs never means NEVER","negative"
754,"#SteveJobs' Emails Show How He Wanted To Smear Competitors As ' #Hackers' #aapl http://t.co/BYJ0ZR62AV","negative"
755,"@Apple Stop liking man.","negative"
758,"YO I DIDNT TOUCH MY PHONE AT ALL AND RIGHT WHEN I DISCONNECTED IT FROM THE CHARGER IT WENT DOWN 3% @apple WE ARE GONNA SCRAP RIGHT NOW","negative"
773,"My 17' MacBook Pro boots with pink vertical stripes, a gray screen, then shutting down and repeating...help @apple http://t.co/xZ4Wb3dm73","negative"
777,"GOSH DARNIT @Apple I DONT KNOW WHAT THE CLOUD IS","negative"
783,"@jakeflem @Apple We've previously had to deal with this issue it's really annoying. Try to reset the NVRAM http://t.co/EoIAf3wO5f","negative"
784,"tell ur update to stop capitalizing everything @apple","negative"
785,"@SSComposer @Apple seems to ignore any key presses like command r and is just doing its own thing.","negative"
787,"@briannaUrie @Apple Their autocorrect is so shit too","negative"
788,"@jakeflem @Apple But it won't fix the problem for good, could back and you might have to change the logic board, check with  Apple Genius :(","negative"
790,"@SaifBinS3eed @Apple get the cloud to butt extension on your web browser","negative"
792,"http://t.co/N87ZYWyaKQ #YotaPhone2 is the future of cell phones. @apple and @samsung should be scared.","negative"
794,"CNBCTV:  #Chromecast beats #AppleTV #aapl http://t.co/uX3vYSzHhu","negative"
798,"@jokigenki @Apple I think it's like 2011? Can't look right now.","negative"
800,"Lowkey, Yosemite trash af I cant use my logic express 9 anymore @Apple yall irritating the fuck outta me - Sincerely a disgruntled person","negative"
802,"@jakeflem @Apple Yes It seems to fix it good the first time and then as time passes it deterioates until you have to change logic board","negative"
805,"They gotta DO something '@_iRapeCouches: @SydneyA @Apple SO TRASH my computer keeps freezing &amp; being dumb af after i upgraded to Yosemite","negative"
806,"@_LanaCarine_ @Apple doesn't have a twitter @Applebees this is your problem now","negative"
808,"@umo_games @Apple yeah no AppleCare here haha.","negative"
818,"Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple","negative"
823,"Did anyone update their Yosemite? My macbook is running like shit. @apple #apple","negative"
826,"@jakeflem @Apple That sucks, don't know what it cost in dollars but for us that was å£400 :(","negative"
836,"@sethlouey @Apple iOS updates bricked Trish's phone too, seems like the Apple is getting a bit rotten","negative"
847,"Guys at @Apple, is this serious? #Yosemite full of stupid and ugly bugs. Feeling #sad. (cc @tim_cook,@therealjonyive) http://t.co/42Mjc3SsJE","negative"
850,"Can't believe @Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old. Asking for å£500 to repair.","negative"
855,"Hey @apple are you even thinking about fixing your wifi issues? #YosemiteProblems","negative"
858,".@Samsungtweets adds some heavyhitting #digitalhealth partners to rival @Apple via @mobihealthnews http://t.co/2vBZ9L8UX5","negative"
859,"If you listen to @apple, you'd think the only way to keep your brain sharp is thru certain apps they provide/sell. Uh...reading, muhfugs","negative"
863,"// when i have gone through 6 iphone chargers in the past montht hank s @apple","negative"
864,"RT @hypebot: Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple","negative"
871,"Every new iPhone or update spellcheck suppress my greatness more and more...stop trying to tell me what to type @apple!!!","negative"
